id,nameKey,element,archetype,poiseMax,str,con,int,dex,aur,luk,skillIds,aiProfileId,chapter,spriteFolder
enemy_goblin,enemy.goblin.name,Neutral,Grunt,25,10,8,6,10,6,8,skill_basic_attack,ai_basic,1,enemy_goblin
enemy_goblin_archer,enemy.goblin_archer.name,Wind,Archer,22,8,7,6,14,6,8,skill_basic_attack,ai_basic,1,enemy_goblin_archer
enemy_goblin_shaman,enemy.goblin_shaman.name,Dark,Caster,24,6,8,14,8,10,8,skill_elemental_strike,ai_basic,1,enemy_goblin_shaman
enemy_slime,enemy.slime.name,Water,Grunt,20,6,10,6,6,6,6,skill_basic_attack,ai_basic,1,enemy_slime
enemy_wolf,enemy.wolf.name,Neutral,Skirmisher,26,12,8,6,16,6,8,skill_basic_attack;skill_wolf_pounce,ai_special,1,enemy_wolf
enemy_bat,enemy.bat.name,Dark,Skirmisher,18,8,6,8,18,6,8,skill_basic_attack;skill_flurry_combo,ai_special,1,enemy_bat
enemy_bomb_slime,enemy.bomb_slime.name,Fire,Bomber,24,8,10,8,8,6,6,skill_basic_attack;skill_cleave,ai_special,1,enemy_bomb_slime
enemy_ogre_brute,enemy.ogre_brute.name,Earth,Brute,45,20,20,6,8,6,6,skill_basic_attack;skill_power_strike,ai_special,1,enemy_ogre_brute
enemy_shield_bearer,enemy.shield_bearer.name,Earth,Tank,50,12,22,6,8,10,6,skill_basic_attack;skill_guard,ai_special,1,enemy_shield_bearer
enemy_skeleton,enemy.skeleton.name,Dark,Grunt,26,12,10,8,10,8,8,skill_basic_attack;skill_power_strike,ai_special,1,enemy_skeleton
boss_alpha_wolf,boss.alpha_wolf.name,Neutral,Boss,140,26,45,10,20,12,10,skill_basic_attack;skill_wolf_pounce;skill_wolf_howl,ai_boss,1,boss_alpha_wolf
boss_goblin_king,boss.goblin_king.name,Neutral,Boss,150,24,50,10,14,12,10,skill_basic_attack;skill_goblin_smash;skill_goblin_decree,ai_boss,2,boss_goblin_king
boss_lich,boss.lich.name,Dark,Boss,145,10,42,30,14,20,12,skill_basic_attack;skill_lich_drain;skill_lich_curse,ai_boss,3,boss_lich
boss_magma_drake,boss.magma_drake.name,Fire,Boss,160,22,55,26,16,14,12,skill_basic_attack;skill_drake_flame_breath;skill_drake_wing_buffet,ai_boss,4,boss_magma_drake
enemy_bog_zombie,enemy.bog_zombie.name,Dark,Grunt,32,14,14,8,8,8,8,skill_basic_attack;skill_poison_bite,ai_special,2,enemy_bog_zombie
enemy_giant_leech,enemy.giant_leech.name,Water,Skirmisher,26,10,10,8,16,8,8,skill_basic_attack;skill_leech_drain,ai_special,2,enemy_giant_leech
enemy_swamp_troll,enemy.swamp_troll.name,Earth,Brute,60,24,26,8,10,8,6,skill_basic_attack;skill_power_strike;skill_troll_regen,ai_special,2,enemy_swamp_troll
enemy_poison_toad,enemy.poison_toad.name,Water,Archer,26,10,10,10,16,8,8,skill_basic_attack;skill_toxic_spray,ai_special,2,enemy_poison_toad
enemy_will_o_wisp,enemy.will_o_wisp.name,Dark,Caster,28,8,10,18,12,12,10,skill_basic_attack;skill_elemental_strike,ai_special,2,enemy_will_o_wisp
enemy_mud_crawler,enemy.mud_crawler.name,Earth,Tank,55,12,26,8,8,12,6,skill_basic_attack;skill_guard,ai_special,2,enemy_mud_crawler
enemy_venomous_spider,enemy.venomous_spider.name,Dark,Skirmisher,24,12,10,8,22,8,10,skill_basic_attack;skill_poison_bite,ai_special,2,enemy_venomous_spider
enemy_bog_witch,enemy.bog_witch.name,Dark,Debuffer,28,8,12,18,12,14,10,skill_basic_attack;skill_bog_curse,ai_special,2,enemy_bog_witch
enemy_swamp_rat_swarm,enemy.swamp_rat_swarm.name,Neutral,Swarm,20,10,8,6,20,6,10,skill_basic_attack;skill_flurry_combo,ai_special,2,enemy_swamp_rat_swarm
