id,nameKey,class,rarity,element,poiseMax,str,con,int,dex,aur,luk,skillIds,spriteFolder
hero_ember_knight,hero.ember_knight.name,Vanguard,Rare,Fire,70,18,18,10,12,10,10,skill_basic_attack;skill_power_strike;skill_cleave;skill_flame_guard;skill_inferno_bulwark,hero_ember_knight
hero_frost_sage,hero.frost_sage.name,Arcanist,Epic,Water,50,10,12,20,12,14,10,skill_basic_attack;skill_elemental_strike;skill_frost_nova;skill_mana_well;skill_ultimate_nova,hero_frost_sage
hero_gale_thief,hero.gale_thief.name,Trickster,Common,Wind,55,14,12,10,20,10,12,skill_basic_attack;skill_flurry_combo;skill_gale_step;skill_hamstring;skill_tempest_dance,hero_gale_thief
hero_dawn_cleric,hero.dawn_cleric.name,Warden,Epic,Light,55,10,14,16,10,20,10,skill_basic_attack;skill_heal_light;skill_cleanse;skill_sanctuary;skill_rebirth_dawn,hero_dawn_cleric
hero_shadow_fang,hero.shadow_fang.name,Slayer,Rare,Dark,55,16,12,10,18,10,14,skill_basic_attack;skill_flurry_combo;skill_power_strike;skill_gale_step;skill_thousand_fangs,hero_shadow_fang
hero_bone_caller,hero.bone_caller.name,Summoner,Legendary,Dark,50,10,12,18,10,16,14,skill_basic_attack;skill_elemental_strike;skill_soul_drain;skill_mana_well;skill_legion_of_bones,hero_bone_caller
hero_iron_bastion,hero.iron_bastion.name,Vanguard,Rare,Earth,70,18,18,10,12,10,10,skill_basic_attack;skill_power_strike;skill_cleave;skill_flame_guard;skill_bastion_upheaval,hero_iron_bastion
hero_tide_warden,hero.tide_warden.name,Vanguard,Common,Water,70,18,18,10,12,10,10,skill_basic_attack;skill_power_strike;skill_cleave;skill_flame_guard;skill_tide_surge,hero_tide_warden
hero_stormguard,hero.stormguard.name,Vanguard,Legendary,Wind,70,18,18,10,12,10,10,skill_basic_attack;skill_power_strike;skill_cleave;skill_flame_guard;skill_storm_bulwark,hero_stormguard
hero_blade_dancer,hero.blade_dancer.name,Slayer,Epic,Wind,55,16,12,10,18,10,14,skill_basic_attack;skill_flurry_combo;skill_power_strike;skill_gale_step;skill_dance_of_blades,hero_blade_dancer
hero_crimson_reaver,hero.crimson_reaver.name,Slayer,Rare,Fire,55,16,12,10,18,10,14,skill_basic_attack;skill_flurry_combo;skill_power_strike;skill_gale_step;skill_crimson_harvest,hero_crimson_reaver
hero_stone_breaker,hero.stone_breaker.name,Slayer,Common,Earth,55,16,12,10,18,10,14,skill_basic_attack;skill_flurry_combo;skill_power_strike;skill_gale_step;skill_quarry_smash,hero_stone_breaker
hero_pyromancer,hero.pyromancer.name,Arcanist,Rare,Fire,50,10,12,20,12,14,10,skill_basic_attack;skill_elemental_strike;skill_frost_nova;skill_mana_well;skill_pyroclasm,hero_pyromancer
hero_terra_seer,hero.terra_seer.name,Arcanist,Common,Earth,50,10,12,20,12,14,10,skill_basic_attack;skill_elemental_strike;skill_frost_nova;skill_mana_well;skill_terra_wrath,hero_terra_seer
hero_void_scholar,hero.void_scholar.name,Arcanist,Legendary,Dark,50,10,12,20,12,14,10,skill_basic_attack;skill_elemental_strike;skill_frost_nova;skill_mana_well;skill_void_cataclysm,hero_void_scholar
hero_grove_keeper,hero.grove_keeper.name,Warden,Epic,Earth,55,10,14,16,10,20,10,skill_basic_attack;skill_heal_light;skill_cleanse;skill_sanctuary;skill_verdant_rebirth,hero_grove_keeper
hero_moon_priestess,hero.moon_priestess.name,Warden,Legendary,Light,55,10,14,16,10,20,10,skill_basic_attack;skill_heal_light;skill_cleanse;skill_sanctuary;skill_lunar_rebirth,hero_moon_priestess
hero_spring_medic,hero.spring_medic.name,Warden,Common,Water,55,10,14,16,10,20,10,skill_basic_attack;skill_heal_light;skill_cleanse;skill_sanctuary;skill_spring_revival,hero_spring_medic
hero_night_stalker,hero.night_stalker.name,Trickster,Epic,Dark,55,14,12,10,20,10,12,skill_basic_attack;skill_flurry_combo;skill_gale_step;skill_hamstring;skill_umbral_flurry,hero_night_stalker
hero_spark_runner,hero.spark_runner.name,Trickster,Common,Wind,55,14,12,10,20,10,12,skill_basic_attack;skill_flurry_combo;skill_gale_step;skill_hamstring;skill_static_barrage,hero_spark_runner
hero_mirage_fox,hero.mirage_fox.name,Trickster,Legendary,Light,55,14,12,10,20,10,12,skill_basic_attack;skill_flurry_combo;skill_gale_step;skill_hamstring;skill_mirage_onslaught,hero_mirage_fox
hero_beast_tamer,hero.beast_tamer.name,Summoner,Rare,Earth,50,10,12,18,10,16,14,skill_basic_attack;skill_elemental_strike;skill_soul_drain;skill_mana_well;skill_wild_stampede,hero_beast_tamer
hero_flame_binder,hero.flame_binder.name,Summoner,Epic,Fire,50,10,12,18,10,16,14,skill_basic_attack;skill_elemental_strike;skill_soul_drain;skill_mana_well;skill_infernal_summoning,hero_flame_binder
hero_star_weaver,hero.star_weaver.name,Summoner,Epic,Light,50,10,12,18,10,16,14,skill_basic_attack;skill_elemental_strike;skill_soul_drain;skill_mana_well;skill_astral_convergence,hero_star_weaver
